"MSOA11CD","closeness","betweenness","distHPD","popDens","medAge","deprivation"
"1","E02002198",5.07284273440418,13.3790923154728,13264.5596287917,3133.7625699308,47,16557.0977267111
"2","E02002200",5.06451853509361,9.53404011178409,15292.275809488,1771.9203099139,45,17216.9775743707
"3","E02002195",5.04382706878621,4.55023883540142,13884.5755202804,842.620593012432,49,24332.9645763523
"4","E02002197",5.06149832277301,9.70505265266672,17588.2317220548,1095.45289168362,41,13179.7846412556
"5","E02002192",5.08881061230608,16.6962624695822,17736.9744728158,612.725050855483,48,27374.7876990664
"6","E02002204",5.09109994751443,17.7769633842252,18032.3277603127,1083.54391054937,47,20921.9475056492
"7","E02002213",4.99632082413539,7.47253803454839,21350.9543253754,336.226940797763,45,16320.4524449221
"8","E02002210",4.99374862101934,6.68603828572692,11476.1874783063,5588.03018482983,40,9213.37447081462
"9","E02002214",4.99154598250386,3.78104647376691,10159.0634678846,5834.38978302924,40,9716.49474720946
"10","E02002206",5.04307783719548,5.73239821006657,11738.0960296781,4638.05093420431,41,11105.9146043918
"11","E02002221",5.27501553760099,108.490652720265,11757.2494053654,5438.8576340291,28,1836.2937760842
"12","E02002227",5.08081412750673,19.2267123246222,11404.675796349,3050.90874382579,30,1298.94057004245
"13","E02002228",5.07094846900672,16.1923851702905,10171.8639799983,3049.52600270391,34,1759.19914151925
"14","E02002234",4.98678025851939,4.01484129087485,9852.21109794129,5040.82440779225,33,496.742159008023
"15","E02002235",5.06716417910448,16.2142135152582,12313.0649884852,4636.34247652909,31,2513.85371323044
"16","E02002220",5.37268555151131,172.507608753033,9478.14006611153,6899.33130899382,28,2559.24023796647
"17","E02002224",4.98019656740502,6.52445791909335,10069.7225372318,10472.9654014689,27,1800.98975636766
"18","E02002222",5.0468262226847,7.86890410407451,15658.0200612196,4992.42169035711,35,4318.13448120639
"19","E02002229",4.968171508012,7.75041135405311,16438.7908352192,1987.59741885356,40,11147.7584522432
"20","E02002186",5.12452830188679,35.5012896272368,26785.0128848223,359.793774832924,47,20944.3053120551
"21","E02002183",5.06602999328508,7.54311936860181,23567.492528262,223.656689412003,52,28150.1917833121
"22","E02002209",4.98861215193593,4.42323454814572,9304.12374642544,4453.63827550942,34,1979.83692264097
"23","E02002208",5.04607609988109,9.50670061265951,10227.2606482531,5420.72558366991,40,6109.49519349273
"24","E02002223",5.06981258866572,15.0356690789292,13857.8110300753,3893.30948951556,27,2085.50217364303
"25","E02002231",5.07473841554559,8.77184794498997,15524.8911527084,4790.67947985818,34,8213.7237741005
"26","E02002232",4.9551193169379,9.47303661979841,14632.8946970727,7107.13952818838,35,2571.67074630837
"27","E02002237",5.02925709206725,5.31357936881875,15548.1482711558,6058.78524843714,38,7756.4463225217
"28","E02002212",5.14979142965491,47.5657139772697,15774.8559475338,3339.50418591306,31,4730.9621229834
"29","E02002211",4.98751285441457,2.92550882077505,14306.0458047417,3335.56329148895,33,7201.91907592543
"30","E02002218",4.99668849804989,3.37535354994402,16756.1812649482,3181.98680252939,37,7585.57611127322
"31","E02002216",5.06527415143603,10.6273236423446,13090.5499304971,5436.06060441362,31,980.82063675528
"32","E02002201",5.09951182876455,15.7580154595172,10600.4699170026,4501.83442316342,41,14645.4878307743
"33","E02002199",5.07132720890283,17.0615308862611,10923.9982076864,772.900244367091,46,19194.7427078798
"34","E02002184",5.10718315156074,21.0500822930612,20643.5664195259,1735.93942743093,49,27057.3673295674
"35","E02002190",5.10449556457676,22.8466667640065,22447.2723702904,1832.70308301229,33,5218.10397117962
"36","E02002188",5.07625598086124,10.8913746300855,21118.2586624533,499.454088171635,45,21847.6696069529
"37","E02002193",4.9645390070922,5.94000936979201,22998.0588024689,2068.78407481655,40,2707.34302139891
"38","E02002191",4.98092723004695,5.5523501959999,23884.5840704697,6639.00890677684,33,2600.24244611736
"39","E02002194",5.02776749352092,4.43247889570449,23954.1588899285,3862.2003324085,44,11471.427154118
"40","E02002189",5.00036821562707,6.20918040822541,23814.1441230379,2078.64816877238,37,7477.07389090909
"41","E02002196",4.92243004204727,2.72106307910748,25214.156088865,457.092889340032,42,18455.8470031546
"42","E02002230",5.04832713754647,13.2456023840256,12691.4697648664,6825.01268197068,29,1524.44323881666
"43","E02002233",4.96490201813396,4.24506560915259,13427.2780862367,11446.1379350729,27,2247.64211271881
"44","E02002241",5.06867721707973,15.8614798698616,15442.6730656542,4386.10236438731,39,5877.22759248531
"45","E02002238",4.99705622608184,3.48465735391919,13667.7663304101,5820.61492518367,39,3476.17290524667
"46","E02002242",5.15057270727452,45.0938316641064,13715.8276791865,2050.92881631094,46,11069.5583672431
"47","E02002240",5.06829887288199,10.1893966819059,18855.6478637308,1528.75539373237,43,14693.1684124977
"48","E02002185",5.03298495293158,4.8988549383091,16325.6266131283,1220.84440201872,46,28265.5667174023
"49","E02002187",5.04532620002972,3.35577925111326,14463.4342426077,549.359413503561,49,30452.1825608536
"50","E02002203",5.03335804299481,4.34423541627377,12629.9450936217,3356.03532870161,39,5659.53755252101
"51","E02002202",5.11526291999397,27.2851606458113,13991.9755609267,2877.98590828815,39,9386.25824542662
